cntry.code,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
LBR,27,339,,,5,,,,,,,57,341,492,1787,,,,,,,,,,,,,,,,,
LBY,,,,,,,,,,,,,,,,,,,,,,,3762,,31,274,275,1727,404,44,1631,668
LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30404
LIC,,,,,,,,,,,,,,,,,,,,,,,,,85324,,,,,,43792,35060
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,533,3622,6432,4091,2075,657,4755,3868,2880,3762,1882,2525,1144,,29,,88,1970,2494,8262,10165,,,,,,,,,,,
LMC,,12914,13148,,,,,,17111,13740,8632,10328,5908,9212,5895,5778,3813,,,,,,5339,,,13900,11707,5722,6698,4603,4543,4782
LMY,,,,,,,,,,,,,,,,,,,,,33853,,,,,,102288,,,,,
LSO,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,
LTE,,,,,,,,,,,,,,,,,,,,9720,11378,,,,,,428,,,,,
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,57228,35459,20008,12150,9307
MEX,,,,,,145,,37,,,,,,,,,,,,,,,,,,,,,,,,
MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIC,,,,,,,,,,,,,,,,,,,,,22726,,,,,,23437,,,,,
MKD,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,
MLI,,457,59,,,106,,,,,,,,,,,12,,39,112,126,28,,218,805,189,172,96,359,522,603,564
MLT,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,997,536,777,1617,130,685,317,229,323,61,25,215,193,271,38,27,139,244,348,46,188,150,713,702,278,187,629,118,517,99,558,158
MNA,,,,,1319,,,1865,3608,,,,,,,,,,,,,,,,,,,57108,35455,19944,12100,9307
MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,1149,1577,1326,309,,,,,,,,,,,,,,,,,,,,,42,30,,55,,53,290,924
MRT,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,1,,,
NAC,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,
NAM,,,,,,,,,,,1,57,,5,,,,,,,,,,,,,,,,,,
NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,,,40,29,,50,34,,62,,,,,,,4,,,81,47,,,,,31,,368,274,229,74,283,512
